,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,label
0,39,7,77516,9,13,4,1,1,4,1,0.021740217402174022,0.0,40,39, <=50K
1,50,6,83311,9,13,2,4,0,4,1,0.0,0.0,13,39, <=50K
2,38,4,215646,11,9,0,6,1,4,1,0.0,0.0,40,39, <=50K
3,53,4,234721,1,7,2,6,0,2,1,0.0,0.0,40,39, <=50K
4,28,4,338409,9,13,2,10,5,2,0,0.0,0.0,40,5, <=50K
5,37,4,284582,12,14,2,4,5,4,0,0.0,0.0,40,39, <=50K
6,49,4,160187,6,5,3,8,1,2,0,0.0,0.0,16,23, <=50K
7,52,6,209642,11,9,2,4,0,4,1,0.0,0.0,45,39, >50K
8,31,4,45781,12,14,4,10,1,4,0,0.14084140841408413,0.0,50,39, >50K
9,42,4,159449,9,13,2,4,0,4,1,0.051780517805178054,0.0,40,39, >50K
10,37,4,280464,15,10,2,4,0,2,1,0.0,0.0,80,39, >50K
11,30,7,141297,9,13,2,10,0,1,1,0.0,0.0,40,19, >50K
12,23,4,122272,9,13,4,1,3,4,0,0.0,0.0,30,39, <=50K
13,32,4,205019,7,12,4,12,1,2,1,0.0,0.0,50,39, <=50K
15,34,4,245487,5,4,2,14,0,0,1,0.0,0.0,45,26, <=50K
16,25,6,176756,11,9,4,5,3,4,1,0.0,0.0,35,39, <=50K
17,32,4,186824,11,9,4,7,4,4,1,0.0,0.0,40,39, <=50K
18,38,4,28887,1,7,2,12,0,4,1,0.0,0.0,50,39, <=50K
19,43,6,292175,12,14,0,4,4,4,0,0.0,0.0,45,39, >50K
20,40,4,193524,10,16,2,10,0,4,1,0.0,0.0,60,39, >50K
21,54,4,302146,11,9,5,8,4,2,0,0.0,0.0,20,39, <=50K
22,35,1,76845,6,5,2,5,0,2,1,0.0,0.0,40,39, <=50K
23,43,4,117037,1,7,2,14,0,4,1,0.0,0.4687786960514233,40,39, <=50K
24,59,4,109015,11,9,0,13,4,4,0,0.0,0.0,40,39, <=50K
25,56,2,216851,9,13,2,13,0,4,1,0.0,0.0,40,39, >50K
26,19,4,168294,11,9,4,3,3,4,1,0.0,0.0,40,39, <=50K
